Date,Irritation (0-10),Closeness (1-10),Razor,Blade,Use,Preshave,Soap,Post-shave,Brush,Passes,Water (1-5),Nicks/Burn,Bow Lather,Notes,Notes (add.)
10/15/2020,4,8.5,Rockwell 6S (R2),Astra SP,2,Proraso White,B&M - Lavender,", Zingari Man","APShaveco, Synbad","WTG, XATG, ATG",3.5,,,"Airy, thin lather",
10/16/2020,2,7.5,Rockwell 6S (R3),Astra SP,3,,TOBS - Sandalwood,"Pinaud Clubman, DSC","APShaveco, Synbad",3--3--2,3.5,,,Thin lather. Too much agitation.,
10/17/2020,5,9,Rockwell 6S (R3),Nacet,1,Proraso White,Archaic - Archaic,", Proraso White","APShaveco, Synbad",3--3--3,3.5,,,"Thin lather, probably too much water",
10/18/2020,7,8.5,Rockwell 6S (R3),Lord Platinum,1,Proraso White,PAA - Porthos,"PAA - Porthos, DSC",PAA Amber Aerolite,3--3--3,3.5,,,Skin was very irritated from previous day,
10/20/2020,3,8,Rockwell 6S (R3),Lord Platinum,2,,A&E - L'Orange Verte,"Proraso Green, DSC","APShaveco, Synbad",3--3--3,3.5,,,,
10/21/2020,4,8.5,WCS Toothsome,,1,Proraso White,Zingari Man - Magician,Proraso White,"APShaveco, Synbad",3--3--3,3.5,,,,
10/22/2020,2,8,Rockwell 6S (R3),Gillette 7 O'Clock Sharp Edge,1,Proraso White,Proraso Red,"Proraso Red, DSC",PAA Amber Aerolite,3--3--3,3,,,,
10/23/2020,3,9,Merkur 23C,Gillette 7 O'Clock SS,1,Proraso White,A&E - L'Orange Verte,"Proraso Red, DSC","APShaveco, Synbad",3--3--2,3.5,,1,,
10/24/2020,4,9.2,Merkur 23C,Gillette 7 O'Clock SS,3,Proraso White,B&M - Lavender,"Fine Platinum, DSC","APShaveco, Synbad","WTG, XATG, ATG",4,,,,
10/25/2020,3,8.5,Rockwell 6S (R3),Gillette 7 O'Clock SS,1,Proraso White,B&M - Tuesday,"PAA Porthos, Zingari Man",Maggards,3--3--2,3.5,,,,
10/26/2020,3,8,Merkur 23C,Gillette Rubie,1,,Uncle Jon's - Pipe Smoke,"Fine Platinum, DSC","APShaveco, Synbad","WTG, XATG, ATG",2.5,,,"Thick lather, but dissipating. Perhaps hard water?",
